limiar,alertas_antecipados,falsos_positivos,beneficio_liquido
0.019803755371797238,145,4078,220197.47392638004
0.02020587199222613,145,3974,266997.47392638004
0.020739820958478677,145,3875,311547.47392638004
0.02132347868350155,145,3782,353397.47392638004
0.021923448751795437,145,3681,398847.47392638004
0.022511650332585793,143,3586,413248.5432515335
0.02310884261404113,142,3483,445424.07791411015
0.023656462174087515,142,3382,490874.07791411015
0.024349002131782475,140,3285,506175.14723926364
0.02498552501450861,140,3184,551625.1472392636
0.025701875928067556,140,3081,597975.1472392636
0.02653598910777373,140,2979,643875.1472392636
0.027498450003175655,140,2877,689775.1472392636
0.02862771377805758,140,2780,733425.1472392636
0.029779281419721124,139,2679,764700.6819018403
0.03071284740136813,139,2577,810600.6819018403
0.031768195771492404,139,2477,855600.6819018403
0.033056062684363056,138,2375,887326.2165644169
0.03451794148444565,138,2274,932776.2165644169
0.0359266544063916,138,2176,976876.2165644169
0.03758325620297592,138,2075,1022326.2165644169
0.03964461340965834,138,1971,1069126.216564417
0.04171056370003388,138,1867,1115926.216564417
0.04394593251098344,138,1766,1161376.216564417
0.046433881937622275,137,1667,1191751.7512269937
0.0494205581954532,136,1567,1222577.2858895704
0.052869323282781586,136,1474,1264427.2858895704
0.05697026826859766,136,1382,1305827.2858895704
0.06196362615209439,136,1282,1350827.2858895704
0.06893267047494324,136,1180,1396727.2858895704
0.07922044736038514,135,1085,1425302.820552147
0.0883397054139731,134,1006,1446678.3552147236
0.09894299102972709,131,922,1441954.9592024537
0.11138567743191373,126,849,1403932.6325153373
0.12752866155518627,123,763,1400109.2365030672
0.14272194603356525,121,669,1414060.3058282207
0.16971348780684237,118,586,1408886.9098159508
0.20715203266726345,115,506,1402363.513803681
0.24303634631104828,110,434,1363891.1871165643
0.2787434620402583,108,358,1369742.2564417175
0.31004307071833714,97,296,1241723.137730061
0.3394176487963178,85,240,1096829.5536809815
0.3834540416178533,72,178,940461.5042944785
0.42009736038982576,65,128,863740.2469325152
0.47281057019138534,52,79,701522.1975460122
0.5480089272666662,29,47,389909.494785276
0.6319568149847654,11,6,153219.11871165643
